timeOpen,close,marketCap
2020-06-22,0.378099526,1320071.682
2020-06-21,0.369190497,1288799.64
2020-06-20,0.397018056,1385763.262
2020-06-19,0.378316006,1320311.823
2020-06-18,0.361245154,1260570.203
2020-06-17,0.411784415,1436738.378
2020-06-16,0.452317474,1577951.599
2020-06-15,0.460268155,1605478.261
2020-06-14,0.475250364,1657519.065
2020-06-13,0.489226077,1706035.22
2020-06-12,0.495213559,1726683.389
2020-06-11,0.48626911,1695273.565
2020-06-10,0.527244348,1837875.711
2020-06-09,0.552799879,1926704.151
2020-06-08,0.552646757,1925912.348
2020-06-07,0.63328777,2206637.402
2020-06-06,0.566135891,1972384.879
2020-06-05,0.568577128,1980618.062
2020-06-04,0.59229188,2062950.241
2020-06-03,0.590922686,2057904.867
2020-06-02,0.591664369,2060203.519
2020-06-01,0.575480878,2003575.051
2020-05-31,0.527453513,1836111.849
2020-05-30,0.548832153,1910267.021
2020-05-29,0.519636435,1808398.847
2020-05-28,0.474942188,1652626.575
2020-05-27,0.437139403,1520878.696
2020-05-26,0.393901087,1370253.826
2020-05-25,0.34026799,1183515.646
2020-05-24,0.327447963,1138765.744
2020-05-23,0.341949064,1189029.038
2020-05-22,0.34515079,1199994.546
2020-05-21,0.363696932,1264295.093
2020-05-20,0.377278143,1311320.679
2020-05-19,0.385576648,1339972.484
2020-05-18,0.37341492,1297524.12
2020-05-17,0.382161892,1327727.096
2020-05-16,0.374817547,1302023.292
2020-05-15,0.324786076,1128065.135
2020-05-14,0.335135253,1163843.438
2020-05-13,0.315157953,1094310.911
2020-05-12,0.29626225,1028549.56
2020-05-11,0.288607157,1001829.212
2020-05-10,0.289521643,1004857.439
2020-05-09,0.307010145,1065400.239
2020-05-08,0.327567109,1136572.497
2020-05-07,0.340715179,1182015.714
2020-05-06,0.319795816,1109279.85
2020-05-05,0.311289533,1079615.412
2020-05-04,0.309323292,1072638.888
2020-05-03,0.313585215,1087256.649
2020-05-02,0.318936709,1105646.547
2020-05-01,0.334082282,1157978.787
2020-04-30,0.27350536,947868.9488
2020-04-29,0.287813866,997306.5664
2020-04-28,0.262324418,908847.8266
2020-04-27,0.257673123,892597.0419
2020-04-26,0.25344344,877814.2895
2020-04-25,0.223822673,775102.9946
2020-04-24,0.227162358,786550.1822
2020-04-23,0.23230699,804240.3563
2020-04-22,0.228231277,790011.396
2020-04-21,0.224794093,777994.8131
2020-04-20,0.215004015,743999.0067
2020-04-19,0.229726731,794823.5184
2020-04-18,0.234380394,810798.8994
2020-04-17,0.225669223,780543.9692
2020-04-16,0.220798949,763580.122
2020-04-15,0.204516645,707161.7905
2020-04-14,0.215881735,746345.0703
2020-04-13,0.211393011,730712.3927
2020-04-12,0.223245265,771561.3244
2020-04-11,0.21195441,732422.4352
2020-04-10,0.214414533,740807.9481
2020-04-09,0.221026136,763531.5809
2020-04-08,0.223562061,772169.8415
2020-04-07,0.20845927,719890.3595
2020-04-06,0.221509735,764838.4824
2020-04-05,0.209147212,722037.6238
2020-04-04,0.214556478,740596.3972
2020-04-03,0.20292948,700350.0592
2020-04-02,0.205861164,710353.7538
2020-04-01,0.194654795,671576.9093
2020-03-31,0.190397026,656781.196
2020-03-30,0.18444501,636148.3637
2020-03-29,0.174831692,602894.0564
2020-03-28,0.180504806,622356.5
2020-03-27,0.189120911,651959.1174
2020-03-26,0.179163565,617531.9803
2020-03-25,0.178685019,615781.4001
2020-03-24,0.179137336,617239.9857
2020-03-23,0.171151397,589626.4366
2020-03-22,0.154550284,532346.7285
2020-03-21,0.161813354,557273.2162
2020-03-20,0.160029625,551039.6303
2020-03-19,0.158462199,545551.9799
2020-03-18,0.133437439,459321.6702
2020-03-17,0.13238245,455613.6924
2020-03-16,0.126746922,436146.3247
2020-03-15,0.135834302,467339.0491
2020-03-14,0.132573997,456044.748
2020-03-13,0.142514889,490158.3069
2020-03-12,0.133262999,458262.1289
2020-03-11,0.176281188,606089.7305
2020-03-10,0.174744693,600707.4134
2020-03-09,0.182924637,628719.5588
2020-03-08,0.164843922,566478.9461
2020-03-07,0.195886465,673040.9971
2020-03-06,0.236830207,813582.6609
2020-03-05,0.241820579,830584.8424
2020-03-04,0.237484012,815548.7433
2020-03-03,0.248367078,852778.9338
2020-03-02,0.256927543,882019.4193
2020-03-01,0.251920609,864681.7501
2020-02-29,0.253957607,871523.5584
2020-02-28,0.275470322,945186.2401
2020-02-27,0.389624688,1336638.297
2020-02-26,0.428486692,1469703.823
2020-02-25,0.464912817,1594364.294
2020-02-24,0.476199155,1632785.049
2020-02-23,0.45645213,1564806.156
2020-02-22,0.438931727,1504476.229
2020-02-21,0.393605262,1348881.974
2020-02-20,0.418442884,1433746.701
2020-02-19,0.429271273,1470590.316
2020-02-18,0.39705007,1359966.999
2020-02-17,0.387024373,1325392.719
2020-02-16,0.396777889,1358553.468
2020-02-15,0.398017672,1362554.764
2020-02-14,0.419317281,1435214.824
2020-02-13,0.468747656,1604116.403
2020-02-12,0.490479796,1678185.02
2020-02-11,0.47331445,1619165.557
2020-02-10,0.457086391,1563369.097
2020-02-09,0.453498288,1550817.535
2020-02-08,0.449425402,1536607.9
2020-02-07,0.482099097,1648023.84
2020-02-06,0.472259599,1614094.266
2020-02-05,0.432357941,1477453.045
2020-02-04,0.454439888,1552623.909
2020-02-03,0.465448759,1589946
2020-02-02,0.450420976,1538331.228
2020-02-01,0.453181681,1547473.267
2020-01-31,0.480713439,1641185.258
2020-01-30,0.501691407,1712486.745
2020-01-29,0.51128765,1744923.682
2020-01-28,0.575701451,1964389.987
2020-01-27,0.533516207,1820110.384
2020-01-26,0.508346751,1733920.562
2020-01-25,0.464049837,1582528.704
2020-01-24,0.48911962,1667713.301
2020-01-23,0.478607836,1631567.418
2020-01-22,0.466448064,1589817.891
2020-01-21,0.483967532,1649220.084
2020-01-20,0.495294391,1687503.605
2020-01-19,0.504151377,1717356.567
2020-01-18,0.530875267,1808044.68
2020-01-17,0.526065927,1791326.895
2020-01-16,0.514065885,1750132.891
2020-01-15,0.538446257,1832789.827
2020-01-14,0.540358706,1838948.434
2020-01-13,0.48341742,1644856.218
2020-01-12,0.497920131,1693875.758
2020-01-11,0.466890639,1588009.947
2020-01-10,0.48716682,1656657.369
2020-01-09,0.474179663,1612181.836
2020-01-08,0.482630444,1640599.817
2020-01-07,0.510739804,1735816.405
2020-01-06,0.463424487,1574700.001
2020-01-05,0.421259015,1431146.138
2020-01-04,0.43013947,1461030.955
2020-01-03,0.424972238,1443196.886
2020-01-02,0.402868042,1367862.041
2020-01-01,0.404747638,1373975.208
2019-12-31,0.392052951,1330618.455
2019-12-30,0.412724922,1400507.201
2019-12-29,0.383932442,1302546.855
2019-12-28,0.505232348,1713738.84
2019-12-27,0.516747315,1752447.935
2019-12-26,0.428619177,1453288.114
2019-12-25,0.363504583,1232263.588
2019-12-24,0.350627216,1188372.998
2019-12-23,0.342791186,1161583.944
2019-12-22,0.330120394,1118423.405
2019-12-21,0.319919961,1083643.588
2019-12-20,0.326134877,1104473.684
2019-12-19,0.324599391,1099050.932
2019-12-18,0.326542746,1105408.163
2019-12-17,0.279233692,945066.48
2019-12-16,0.290987003,984646.3809
2019-12-15,0.288873942,977294.6078
